DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2012-01-05T16:53:38.900+00:00,27.868,52.014,13.1,4.9,mb,183,45,,,pde,pde20120105165338900_13,1363392496395
2012-01-05T17:56:35.880+00:00,13.434,-90.522,77.6,4.5,mb,49,113,,1.02,pde,pde20120105175635880_77,1363392496471
2012-01-05T18:16:16.300+00:00,-3.881,-103.132,10.0,4.9,mb,175,61,,0.85,pde,pde20120105181616300_10,1363392496497
2012-01-05T18:23:43.120+00:00,-20.892,-178.534,583.7,4.8,mb,52,132,,1.02,pde,pde20120105182343120_583,1363392496568
2012-01-05T18:46:03.300+00:00,-26.035,-68.787,87.9,4.9,mb,20,117,,0.79,pde,pde20120105184603300_87,1363392496583
2012-01-05T18:58:24.200+00:00,53.523,-165.668,45.6,4.2,mb,29,178,,,pde,pde20120105185824200_45,1363392496588
2012-01-05T20:55:47.190+00:00,35.856,140.798,42.8,4.9,mb,98,119,,0.93,pde,pde20120105205547190_42,1363392496598
2012-01-05T21:55:21.320+00:00,-56.146,-143.950,10.0,5.2,mb,39,55,,1.13,pde,pde20120105215521320_10,1363392496607
2012-01-05T22:02:39.680+00:00,18.595,-70.567,35.0,4.6,mb,54,68,,1.09,pde,pde20120105220239680_35,1363392496612
2012-01-05T23:14:49.120+00:00,-0.935,99.069,41.7,5.1,mb,106,49,,1.00,pde,pde20120105231449120_41,1363392496620
2012-01-05T23:25:06.370+00:00,-19.881,-175.920,35.0,4.4,mb,10,201,,0.65,pde,pde20120105232506370_35,1363392496637
2012-01-05T23:28:45.870+00:00,37.534,141.803,30.3,4.8,mb,174,34,,0.83,pde,pde20120105232845870_30,1363392496640
2012-01-05T23:50:26.320+00:00,-39.534,174.192,32.0,4.1,ml,104,72,,,pde,pde20120105235026320_32,1363392496656
2012-01-06T00:16:48.900+00:00,38.700,43.640,5.0,4.5,mb,73,39,,,pde,pde20120106001648900_5,1363392496748
2012-01-06T00:38:48.400+00:00,-14.092,-14.263,10.0,5.1,mb,60,51,,0.74,pde,pde20120106003848400_10,1363392496790
2012-01-06T01:20:59.140+00:00,-43.486,172.804,6.7,4.5,mb,147,85,,,pde,pde20120106012059140_6,1363392496858
2012-01-06T01:24:07.230+00:00,-4.860,154.907,35.0,4.2,mb,8,174,,0.54,pde,pde20120106012407230_35,1363392496898
2012-01-06T02:06:53.530+00:00,37.994,42.650,5.4,4.3,mb,50,51,,,pde,pde20120106020653530_5,1363392496900
2012-01-06T03:04:58.220+00:00,-1.244,123.088,22.5,4.3,mb,22,63,,1.12,pde,pde20120106030458220_22,1363392496929
2012-01-06T04:10:54.680+00:00,-37.518,-179.813,33.0,4.8,mb,118,72,,,pde,pde20120106041054680_33,1363392496967
2012-01-06T04:31:13.800+00:00,-4.535,153.411,76.3,4.8,mb,101,37,,0.98,pde,pde20120106043113800_76,1363392497041
2012-01-06T04:34:16.500+00:00,-37.585,179.908,19.4,4.1,mb,8,278,,,pde,pde20120106043416500_19,1363392497185
2012-01-06T04:49:32.290+00:00,-11.029,163.510,10.0,4.3,mb,20,116,,1.27,pde,pde20120106044932290_10,1363392497200
2012-01-06T05:28:55.460+00:00,25.613,96.963,51.2,4.4,mb,28,121,,1.16,pde,pde20120106052855460_51,1363392497204
2012-01-06T06:37:19.820+00:00,13.642,120.797,159.3,4.8,mb,134,68,,0.82,pde,pde20120106063719820_159,1363392497221
2012-01-06T06:46:07.440+00:00,-25.980,-177.369,76.3,4.5,mb,34,76,,0.95,pde,pde20120106064607440_76,1363392497291
